sample,n_file,n_kept,n_binding,binding_mean_1to5,binding_sd,care_sd,equality_sd,proportionality_sd,loyalty_sd,authority_sd,purity_sd
s1,392,392,376,3.2326,0.7971,0.7743,0.9604,0.5922,0.8816,0.8936,0.9202
s2,989,989,989,3.3323,0.8016,0.7742,1.0118,0.6253,0.8708,0.9145,0.9232
